Qty,Designator,Footprint,Comment,LCSC Part#,Description,Value,Device,Package,Parts,Description,BUILT_BY,CAN,CATEGORY,COLOR,COPYRIGHT,CURRENT_RATING,DATASHEET,DESCRIPTION,DIGI-KEY_PART_NUMBER_1,DIGI-KEY_PART_NUMBER_2,DIGI-KEY_PART_NUMBER_3,DIGI-KEY_PART_NUMBER_4,DRAIN_CURRENT,ENDSTOP,EXTRUDER,FAN0,FAN1,FAN2,FAN3,FORWARD_CURRENT,LCSCPN#,MANUFACTURER,MANUFACTURER_PART_NUMBER,MFR_NAME,MPN,OPERATING_TEMP,OPERATING_TEMPERATURE,PART_STATUS,POPULARITY,PROD_ID,RATING,REVERSE_VOLTAGE,ROHS_COMPLIANCE,ROHS_COMPLIANT,SERIES,SOURCELIBRARY,SUB-CATEGORY,SUBCATEGORY,THERMALLOSS,THERMAL_LOSS,TOLERANCE,TYPE,VALUE,VENDOR,VOLTAGE_RATING,ZENER_VOLTAGE
1,J1,SCREWTERMINAL-3.5MM-2,CONN_023.5MM,,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,CONN_023.5MM,SCREWTERMINAL-3.5MM-2,J1,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONN-08399,,,,,,,,,,,,,,,,
2,"R8, R14",RESC1005X40,R_CHIP-0402(1005-METRIC),C25741,Resistor Fixed - Generic,100k,R_CHIP-0402(1005-METRIC),RESC1005X40,"R8, R14",Resistor Fixed - Generic,,,Resistor,,,,,,,,,,,,,,,,,,C25741,,,,,,,,,,,,,,,,Fixed,,,,,,,,,
22,"C5, C6, C7, C8, C9, C10, C11, C12, C16, C17, C18, C20, C24, C25, C26, C27, C29, C30, C31, C34, C39, C40",CAPC1005X60,C_CHIP-0402(1005-METRIC),C307331,Capacitor - Generic,100nF,C_CHIP-0402(1005-METRIC),CAPC1005X60,"C5, C6, C7, C8, C9, C10, C11, C12, C16, C17, C18, C20, C24, C25, C26, C27, C29, C30, C31, C34, C39, C40",Capacitor - Generic,,,Capacitor,,,,,,,,,,,,,,,,,,C307331,,,,,,,,,,,,,,,,,,,,,,,,,
1,C33,PANASONIC_D,100UF-POLAR-25V-20%(ELEC),C128464,100µF polarized capacitors,100uF,100UF-POLAR-25V-20%(ELEC),PANASONIC_D,C33,100µF polarized capacitors,,,,,,,,,,,,,,,,,,,,,C128464,,,,,,,,,CAP-12547,,,,,,,,,,,,,100uF,,,
1,R6,RESC1005X40,R_CHIP-0402(1005-METRIC),C2933067,Resistor Fixed - Generic,105k,R_CHIP-0402(1005-METRIC),RESC1005X40,R6,Resistor Fixed - Generic,,,Resistor,,,,,,,,,,,,,,,,,,C2933067,,,,,,,,,,,,,,,,Fixed,,,,,,,,,
4,"R21, R22, R37, R41",RESC1005X40,R_CHIP-0402(1005-METRIC),C25744,Resistor Fixed - Generic,10K,R_CHIP-0402(1005-METRIC),RESC1005X40,"R21, R22, R37, R41",Resistor Fixed - Generic,,,Resistor,,,,,,,,,,,,,,,,,,C25744,,,,,,,,,,,,,,,,Fixed,,,,,,,,,
1,C19,CAPC1608X85,C_CHIP-0603(1608-METRIC),C194427,Capacitor - Generic,10uF,C_CHIP-0603(1608-METRIC),CAPC1608X85,C19,Capacitor - Generic,,,Capacitor,,,,,,,,,,,,,,,,,,C194427,,,,,,,,,,,,,,,,,,,,,,,,,
1,R16,RESC1005X40,R_CHIP-0402(1005-METRIC),C25079,Resistor Fixed - Generic,120R,R_CHIP-0402(1005-METRIC),RESC1005X40,R16,Resistor Fixed - Generic,,,Resistor,,,,,,,,,,,,,,,,,,C25079,,,,,,,,,,,,,,,,Fixed,,,,,,,,,
1,R9,RESC1005X40,R_CHIP-0402(1005-METRIC),C2974007,Resistor Fixed - Generic,13.3k,R_CHIP-0402(1005-METRIC),RESC1005X40,R9,Resistor Fixed - Generic,,,Resistor,,,,,,,,,,,,,,,,,,C2974007,,,,,,,,,,,,,,,,Fixed,,,,,,,,,
6,"R3, R12, R23, R24, R25, R40",RESC1005X40,R_CHIP-0402(1005-METRIC),C25543,Resistor Fixed - Generic,1K,R_CHIP-0402(1005-METRIC),RESC1005X40,"R3, R12, R23, R24, R25, R40",Resistor Fixed - Generic,,,Resistor,,,,,,,,,,,,,,,,,,C25543,,,,,,,,,,,,,,,,Fixed,,,,,,,,,
